测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
1,1385.62,2004.95,1436.21,17.6014
2,1385.46,2005.02,1436.09,17.6016
3,1385.52,2004.97,1436.02,17.6016
4,1385.57,2004.92,1436.45,17.6013
5,1385.93,2004.91,1436.11,17.6013
6,1385.86,2004.96,1435.79,17.6015
7,1385.51,2005,1436.3,17.6014
8,1385.64,2005.06,1436.12,17.6014
9,1386.18,2005.09,1435.75,17.6013
10,1386.04,2004.99,1435.78,17.6014
11,1385.39,2004.95,1435.79,17.6019
12,1385.36,2004.88,1435.69,17.602
13,1385.4,2004.76,1435.52,17.6022
14,1385.41,2004.83,1435.77,17.602
15,1385.4,2004.7,1436,17.6019
16,1385.62,2004.51,1435.6,17.6021
17,1385.57,2004.85,1435.64,17.6019
18,1385.7,2004.98,1435.96,17.6015
19,1385.99,2005.04,1436.02,17.6012
20,1385.45,2005.21,1436.14,17.6014
21,1385.44,2005.03,1436.22,17.6015
22,1386.15,2004.81,1436.06,17.6013
23,1385.84,2004.96,1436.23,17.6013
24,1385.8,2005.23,1436.38,17.601
25,1385.85,2005.16,1436.15,17.6012
26,1385.36,2005.01,1436.09,17.6016
27,1385.35,2005.02,1436.21,17.6016
28,1385.95,2004.83,1436,17.6014
29,1386.26,2004.69,1435.7,17.6015
30,1385.91,2005.05,1435.75,17.6015
31,1385.47,2004.97,1435.75,17.6018
32,1385.14,2004.81,1435.71,17.6022
33,1385.18,2005.01,1436.2,17.6017
34,1385.2,2004.86,1436.56,17.6015
35,1385.5,2004.81,1436.27,17.6016
36,1385.44,2004.99,1436.35,17.6014
37,1384.89,2005.18,1436.21,17.6018
38,1384.86,2005.11,1435.83,17.6021
39,1385.21,2004.88,1435.99,17.6019
40,1385.27,2004.84,1435.96,17.6019
41,1385.34,2004.77,1435.8,17.602
42,1386.02,2004.72,1435.96,17.6015
43,1385.88,2004.85,1436.18,17.6013
44,1384.85,2004.76,1435.93,17.6023
45,1385.16,2004.75,1435.73,17.6022
46,1385.42,2004.98,1435.95,17.6017
47,1385.17,2005.04,1436.15,17.6017
48,1385.57,2005.08,1435.94,17.6016
49,1386,2005.06,1435.83,17.6014
50,1385.72,2004.97,1435.84,17.6016
51,1385.19,2004.89,1435.43,17.6023
52,1385.53,2004.82,1435.85,17.6018
53,1385.6,2004.82,1436.45,17.6014
54,1385.89,2004.89,1436.27,17.6012
55,1386.05,2004.92,1436.1,17.6012
56,1385.38,2005.1,1436.17,17.6015
57,1385.3,2005.17,1435.89,17.6017
58,1385.2,2004.94,1436.03,17.6018
59,1385.12,2004.86,1436.33,17.6017
60,1385.3,2004.97,1436.24,17.6016
61,1385.74,2004.91,1436.19,17.6014
62,1385.46,2004.93,1436.2,17.6016
63,1384.88,2005.13,1436.56,17.6016
64,1384.94,2005,1435.97,17.602
65,1384.91,2004.78,1435.81,17.6023
66,1385.42,2004.99,1436.09,17.6016
67,1386.23,2005.04,1436.17,17.601
68,1386.16,2004.77,1436.17,17.6012
69,1385.34,2005.01,1436.05,17.6017
70,1385.12,2005.28,1436.13,17.6016
71,1385.41,2005.11,1435.9,17.6017
72,1385.38,2004.96,1436.09,17.6017
73,1385.31,2005.17,1436.71,17.6012
74,1385.48,2005.14,1436.76,17.601
75,1385.66,2004.89,1436.15,17.6015
76,1385.51,2005.03,1436.15,17.6015
77,1385.06,2004.95,1436.04,17.6019
78,1385.42,2004.89,1435.7,17.602
79,1386.09,2005.03,1435.92,17.6013
80,1385.65,2005.04,1435.88,17.6016
81,1384.88,2004.91,1435.85,17.6022
82,1385.16,2004.9,1436.41,17.6016
83,1385.53,2004.98,1436.38,17.6014
84,1385.75,2004.91,1435.71,17.6017
85,1385.53,2004.92,1435.84,17.6018
86,1385.51,2004.93,1435.87,17.6018
87,1386.44,2004.99,1436.09,17.6009
88,1385.98,2004.92,1436.31,17.6011
89,1385.6,2004.95,1435.86,17.6017
90,1385.95,2005,1435.83,17.6014
91,1385.17,2004.95,1435.75,17.602
92,1385.07,2005,1435.87,17.602
93,1385.51,2004.96,1436.07,17.6016
94,1385.28,2004.76,1436.35,17.6017
95,1385.16,2004.74,1436.3,17.6018
96,1385.65,2005.07,1435.99,17.6015
97,1385.82,2005,1436.17,17.6013
98,1385.42,2004.78,1436.24,17.6017
99,1385.17,2004.8,1436.56,17.6016
100,1384.78,2004.67,1436.34,17.6021
101,1384.73,2004.72,1435.78,17.6025
102,1385.3,2004.97,1436.11,17.6017
103,1385.14,2005.03,1436.4,17.6016
104,1385.44,2005,1436.23,17.6015
105,1386.26,2004.93,1436.39,17.6009
106,1385.66,2004.87,1436.64,17.6012
107,1385.41,2005.05,1436.18,17.6015
108,1385.52,2005.11,1435.69,17.6017
109,1384.96,2004.88,1435.83,17.6022
110,1385.52,2004.84,1436.41,17.6014
111,1385.89,2004.96,1436.26,17.6012
112,1385.76,2005.05,1436.06,17.6014
113,1385.28,2005.06,1436.22,17.6016
114,1384.88,2004.97,1436.19,17.6019
115,1385.71,2004.89,1436.58,17.6012
116,1386.13,2004.92,1436.41,17.601
117,1385.83,2005.11,1436.16,17.6012
118,1385.52,2005.12,1436.4,17.6013
119,1385.45,2004.99,1436.09,17.6016
120,1385.37,2004.9,1435.8,17.6019
121,1384.95,2004.95,1436.06,17.602
122,1384.88,2005.03,1436.1,17.602
123,1385.32,2004.94,1436.55,17.6014
124,1385.67,2004.91,1436.73,17.6011
125,1385.64,2005,1436.53,17.6012
126,1385.17,2004.92,1436.49,17.6016
127,1385.5,2004.85,1436.25,17.6016
128,1385.57,2005.1,1436.3,17.6013
129,1385.02,2005.06,1436.24,17.6018
130,1385.48,2005.02,1436.27,17.6014
131,1385.96,2005.08,1435.85,17.6014
132,1385.84,2004.96,1435.46,17.6018
133,1385.52,2004.9,1435.88,17.6018
134,1385.37,2004.98,1435.97,17.6017
135,1385.52,2005.03,1435.81,17.6017
136,1386.09,2004.87,1436,17.6013
137,1386.33,2004.91,1435.99,17.6011
138,1385.79,2004.87,1436.22,17.6014
139,1385.36,2004.77,1436.13,17.6018
140,1385.39,2004.96,1435.93,17.6018
141,1385.25,2004.96,1436.41,17.6015
142,1385.2,2004.77,1436.54,17.6016
143,1385.71,2004.79,1436.53,17.6013
144,1385.75,2004.96,1436.5,17.6011
145,1385.98,2005,1436.59,17.6009
146,1386.03,2004.99,1436.39,17.601
147,1384.94,2005.11,1436.09,17.6019
148,1384.82,2005.08,1436.13,17.6019
149,1385.5,2004.94,1435.58,17.6019
150,1385.36,2004.93,1435.5,17.6021
151,1385.28,2004.85,1436.34,17.6016
152,1385.39,2004.83,1436.13,17.6017
153,1385.15,2004.83,1435.61,17.6022
154,1385.5,2004.86,1435.85,17.6018
155,1385.77,2004.93,1436.02,17.6015
156,1385.48,2004.97,1436.19,17.6015
157,1385.84,2005.06,1436.11,17.6013
158,1385.75,2004.96,1435.58,17.6018
159,1385.32,2004.97,1435.88,17.6018
160,1385.4,2005.04,1436.11,17.6016
161,1385.76,2004.83,1436.05,17.6015
162,1385.99,2004.77,1436.09,17.6014
163,1385.91,2004.91,1436.24,17.6012
164,1385.61,2005.03,1436.26,17.6013
165,1385.77,2004.98,1435.91,17.6015
166,1385.63,2004.86,1435.76,17.6018
167,1385.35,2004.87,1435.68,17.602
168,1385.36,2004.92,1435.69,17.602
169,1385.05,2005,1435.78,17.6021
170,1385.53,2004.94,1436.11,17.6016
171,1385.59,2004.92,1435.95,17.6016
172,1385.57,2005.02,1435.78,17.6017
173,1385.79,2004.9,1435.99,17.6015
174,1385.01,2004.79,1435.88,17.6022
175,1384.9,2005.08,1435.81,17.6021
176,1385.19,2005.22,1436.39,17.6014
177,1385.01,2005.03,1436.15,17.6018
178,1385.57,2004.99,1435.69,17.6018
179,1386.46,2005.05,1435.96,17.601
180,1386.49,2005.02,1436.01,17.6009
181,1386.03,2005.08,1436.19,17.6011
182,1385.92,2005.14,1436.15,17.6011
183,1385.33,2004.96,1435.65,17.602
184,1385.29,2004.84,1435.59,17.6021
185,1385.85,2004.95,1435.91,17.6015
186,1385.63,2005.02,1436.09,17.6015
187,1384.74,2004.96,1436.19,17.602
188,1384.89,2004.95,1436.03,17.602
189,1385.87,2004.9,1435.66,17.6017
190,1385.92,2004.86,1435.55,17.6017
191,1385.97,2004.97,1435.96,17.6014
192,1385.63,2004.99,1435.79,17.6017
193,1385.66,2004.86,1435.75,17.6018
194,1386.02,2004.88,1436.34,17.6011
195,1385.84,2004.9,1436.25,17.6013
196,1385.53,2004.91,1436.43,17.6014
197,1385.39,2005.05,1436.56,17.6013
198,1384.84,2005.01,1436.28,17.6019
199,1384.83,2005.01,1435.9,17.6021
200,1385.47,2004.99,1435.67,17.6019
201,1385.29,2004.89,1435.84,17.6019
202,1385.54,2004.96,1436.34,17.6014
203,1385.85,2004.98,1436.45,17.6011
204,1385.29,2005.03,1436.12,17.6017
205,1385.69,2005.17,1436.39,17.6011
206,1385.78,2005.08,1436.82,17.6008
207,1385.22,2004.99,1436.6,17.6014
208,1385.73,2004.82,1435.92,17.6016
209,1386.05,2004.74,1436.28,17.6012
210,1385.73,2004.93,1436.81,17.601
211,1385.65,2004.87,1436.35,17.6014
212,1385.78,2004.82,1436.49,17.6012
213,1385.63,2004.86,1436.76,17.6011
