测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
1,1272.09,1195.31,1186.46,17.6023
2,1272.2,1195.3,1186.14,17.6024
3,1272.37,1195.35,1186.26,17.6022
4,1272.36,1194.63,1186.02,17.6028
5,1272.2,1194.85,1185.75,17.603
6,1272.55,1195.03,1185.68,17.6027
7,1272.06,1194.71,1185.43,17.6034
8,1271.53,1195.05,1185.37,17.6035
9,1273.11,1194.88,1185.07,17.6028
10,1271.42,1194.27,1185.38,17.6041
11,1272.24,1194.43,1185.5,17.6034
12,1272.82,1194.93,1185.31,17.6028
13,1272.43,1194.94,1185.84,17.6027
14,1272.24,1195.07,1186.08,17.6026
15,1272.53,1194.93,1186.09,17.6025
16,1272.78,1195.09,1186.24,17.6021
17,1272.65,1194.98,1186.43,17.6021
18,1272.4,1195.53,1186.5,17.6019
19,1272.74,1195.11,1186.23,17.6021
20,1272.17,1194.81,1186.08,17.6028
21,1272.13,1195,1185.83,17.6029
22,1272.67,1194.86,1185.78,17.6026
23,1271.82,1195.21,1185.79,17.603
24,1272.2,1194.85,1185.98,17.6028
25,1272.15,1195.38,1185.84,17.6026
26,1272.56,1195.15,1185.96,17.6024
27,1271.99,1195.09,1185.91,17.6028
28,1272.27,1194.7,1186.04,17.6028
29,1272.2,1195.13,1185.95,17.6027
30,1272.36,1194.29,1186.23,17.6029
31,1272.3,1194.97,1186,17.6027
32,1273.03,1194.86,1185.96,17.6023
33,1272.18,1194.47,1186.03,17.6031
34,1272.26,1194.78,1185.83,17.6029
35,1271.91,1194.99,1185.77,17.6031
36,1272.2,1194.94,1185.87,17.6028
37,1272.2,1194.65,1185.95,17.603
38,1272.16,1195.23,1185.93,17.6026
39,1271.9,1194.96,1186.16,17.6028
40,1271.84,1195.02,1186.15,17.6028
41,1272.38,1195.01,1186.15,17.6025
42,1272.68,1195.03,1186.02,17.6024
43,1271.9,1194.8,1186.29,17.6029
44,1272.33,1195.12,1186.21,17.6024
45,1272.21,1195.25,1185.72,17.6027
46,1272.54,1194.94,1185.87,17.6026
47,1272.68,1194.92,1186.13,17.6024
48,1272.7,1194.91,1186.05,17.6024
49,1272.44,1195.08,1185.95,17.6025
50,1272.01,1194.74,1186.1,17.6029
51,1271.63,1194.86,1186.22,17.603
52,1272.62,1194.98,1186.01,17.6024
53,1272.48,1195.09,1186.29,17.6023
54,1272.72,1194.59,1186.1,17.6026
55,1272.01,1195.32,1186.16,17.6025
56,1272.66,1195.02,1186.19,17.6023
57,1272.73,1194.55,1186.2,17.6025
58,1272.41,1194.75,1186.02,17.6027
59,1272.96,1194.9,1186.19,17.6021
60,1271.71,1195.24,1186.01,17.6029
61,1271.75,1195.16,1185.98,17.6029
62,1272.38,1195.08,1185.89,17.6026
63,1271.99,1194.6,1186.1,17.6031
